filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,0,1,0,0,0,0,0,0,0,0,0,0
random_1,0,1,1,0,1,0,0,0,0,0,0,0
random_1,0,1,2,0,0,0,0,0,0,0,0,0
random_1,0,1,3,0,1,0,0,0,0,0,0,0
random_1,0,1,4,1,0,1,0,0,0,0,0,0
random_1,0,1,5,0,0,0,0,1,0,0,0,0
random_1,0,1,6,1,0,1,0,0,0,0,0,0
random_1,0,1,7,0,0,0,0,1,0,0,0,0
random_1,0,1,8,0,0,0,0,0,0,0,0,0
random_1,0,1,9,0,1,0,0,0,0,0,0,0
random_1,0,1,10,0,0,0,0,0,0,0,0,0
random_1,0,1,11,0,1,0,0,0,0,0,0,0
random_1,0,1,12,1,0,1,0,0,0,0,0,0
random_1,0,1,13,0,0,0,0,1,0,0,0,0
random_1,0,1,14,1,0,1,0,0,0,0,0,0
random_1,0,1,15,0,0,0,0,1,0,0,0,0
random_1,0,2,0,2,0,0,0,0,1,0,0,0
random_1,0,2,1,2,1,0,0,0,0,0,0,0
random_1,0,2,2,2,0,0,0,0,1,0,0,0
random_1,0,2,3,2,1,0,0,0,0,0,0,0
random_1,0,2,4,1,1,1,0,0,0,0,0,0
random_1,0,2,5,3,1,0,0,1,0,0,0,0
random_1,0,2,6,1,1,1,0,0,0,0,0,0
random_1,0,2,7,3,1,0,0,1,0,0,0,0
random_1,0,2,8,2,0,0,0,0,1,0,0,0
random_1,0,2,9,2,1,0,0,0,0,0,0,0
random_1,0,2,10,2,0,0,0,0,1,0,0,0
random_1,0,2,11,2,1,0,0,0,0,0,0,0
random_1,0,2,12,1,1,1,0,0,0,0,0,0
random_1,0,2,13,3,1,0,0,1,0,0,0,0
random_1,0,2,14,1,1,1,0,0,0,0,0,0
random_1,0,2,15,3,1,0,0,1,0,0,0,0
random_1,0,3,0,6,0,0,1,0,2,0,0,0
random_1,0,3,1,2,3,1,1,0,0,0,0,0
random_1,0,3,2,6,0,0,1,0,2,0,0,0
random_1,0,3,3,2,3,1,1,0,0,0,0,0
random_1,0,3,4,4,3,1,0,0,1,0,0,0
random_1,0,3,5,7,2,0,0,1,0,0,0,1
random_1,0,3,6,4,3,1,0,0,1,0,0,0
random_1,0,3,7,7,2,0,0,1,0,0,0,1
random_1,0,3,8,6,0,0,1,0,2,0,0,0
random_1,0,3,9,2,3,1,1,0,0,0,0,0
random_1,0,3,10,6,0,0,1,0,2,0,0,0
random_1,0,3,11,2,3,1,1,0,0,0,0,0
random_1,0,3,12,4,3,1,0,0,1,0,0,0
random_1,0,3,13,7,2,0,0,1,0,0,0,1
random_1,0,3,14,4,3,1,0,0,1,0,0,0
random_1,0,3,15,7,2,0,0,1,0,0,0,1
random_1,0,4,0,7,3,1,1,0,2,0,0,0
random_1,0,4,1,6,3,1,2,0,0,0,0,0
random_1,0,4,2,7,3,1,1,0,2,0,0,0
random_1,0,4,3,6,3,1,2,0,0,0,0,0
random_1,0,4,4,10,5,1,1,1,1,0,1,0
random_1,0,4,5,11,6,0,1,1,1,0,0,1
random_1,0,4,6,10,5,1,1,1,1,0,1,0
random_1,0,4,7,11,6,0,1,1,1,0,0,1
random_1,0,4,8,7,3,1,1,0,2,0,0,0
random_1,0,4,9,6,3,1,2,0,0,0,0,0
random_1,0,4,10,7,3,1,1,0,2,0,0,0
random_1,0,4,11,6,3,1,2,0,0,0,0,0
random_1,0,4,12,10,5,1,1,1,1,0,1,0
random_1,0,4,13,11,6,0,1,1,1,0,0,1
random_1,0,4,14,10,5,1,1,1,1,0,1,0
random_1,0,4,15,11,6,0,1,1,1,0,0,1
random_1,0,5,0,11,7,2,2,0,2,0,0,0
random_1,0,5,1,14,5,1,3,1,0,0,0,0
random_1,0,5,2,11,7,2,2,0,2,0,0,0
random_1,0,5,3,14,5,1,3,1,0,0,0,0
random_1,0,5,4,14,7,2,1,2,1,0,1,0
random_1,0,5,5,16,8,0,2,2,1,0,0,2
random_1,0,5,6,14,7,2,1,2,1,0,1,0
random_1,0,5,7,16,8,0,2,2,1,0,0,2
random_1,0,5,8,11,7,2,2,0,2,0,0,0
random_1,0,5,9,14,5,1,3,1,0,0,0,0
random_1,0,5,10,11,7,2,2,0,2,0,0,0
random_1,0,5,11,14,5,1,3,1,0,0,0,0
random_1,0,5,12,14,7,2,1,2,1,0,1,0
random_1,0,5,13,16,8,0,2,2,1,0,0,2
random_1,0,5,14,14,7,2,1,2,1,0,1,0
random_1,0,5,15,16,8,0,2,2,1,0,0,2
random_1,100,1,0,2,0,0,0,0,0,0,0,0
random_1,100,1,1,3,0,0,1,0,0,0,0,0
random_1,100,1,2,2,0,1,1,0,1,0,0,0
random_1,100,1,3,8,0,0,0,0,0,0,0,0
random_1,100,1,4,0,0,0,2,0,0,0,0,0
random_1,100,1,5,2,0,0,1,0,0,0,0,0
random_1,100,1,6,0,0,0,0,0,0,0,0,0
random_1,100,1,7,4,0,0,1,0,0,0,0,0
random_1,100,1,8,6,0,0,0,0,0,0,0,0
random_1,100,1,9,2,0,0,0,0,0,0,0,0
random_1,100,1,10,5,0,0,1,0,0,0,0,0
random_1,100,1,11,0,0,0,0,0,0,0,0,0
random_1,100,1,12,0,0,0,0,0,0,0,0,0
random_1,100,1,13,0,0,0,0,0,0,0,0,0
random_1,100,1,14,2,0,1,1,0,0,0,0,0
random_1,100,1,15,4,0,0,0,0,0,0,0,0
random_1,100,2,0,4,0,0,0,0,0,0,0,0
random_1,100,2,1,16,0,0,1,0,0,0,0,0
random_1,100,2,2,14,0,1,5,0,1,0,0,0
random_1,100,2,3,20,0,0,3,0,1,0,0,0
random_1,100,2,4,3,0,0,2,0,0,0,0,0
random_1,100,2,5,6,0,0,7,0,0,0,0,0
random_1,100,2,6,0,0,0,0,0,0,0,0,0
random_1,100,2,7,9,0,0,2,0,0,0,0,0
random_1,100,2,8,11,0,0,0,0,0,0,0,0
random_1,100,2,9,3,0,1,1,0,0,0,0,0
random_1,100,2,10,7,0,0,2,0,0,0,0,0
random_1,100,2,11,4,0,0,0,0,1,0,0,0
random_1,100,2,12,0,0,0,0,0,0,0,0,0
random_1,100,2,13,0,0,0,0,0,0,0,0,0
random_1,100,2,14,2,0,1,1,0,0,0,0,0
random_1,100,2,15,5,0,0,1,0,1,0,0,0
random_1,100,3,0,12,0,0,0,0,2,0,0,0
random_1,100,3,1,26,0,0,3,0,0,0,0,0
random_1,100,3,2,18,0,1,7,0,2,0,0,0
random_1,100,3,3,32,0,0,3,0,1,0,0,0
random_1,100,3,4,6,0,0,4,0,3,0,1,0
random_1,100,3,5,9,0,0,7,0,0,0,0,0
random_1,100,3,6,0,0,0,1,0,0,0,0,0
random_1,100,3,7,13,0,0,5,0,0,0,0,0
random_1,100,3,8,17,0,0,0,0,0,0,0,0
random_1,100,3,9,5,0,1,1,0,0,0,0,0
random_1,100,3,10,11,0,0,2,0,0,0,0,0
random_1,100,3,11,9,0,0,0,0,1,0,0,0
random_1,100,3,12,1,0,0,1,0,0,0,0,0
random_1,100,3,13,0,0,0,0,0,0,0,0,0
random_1,100,3,14,2,0,1,2,0,0,0,0,0
random_1,100,3,15,13,0,0,1,0,1,0,0,0
random_1,100,4,0,22,0,0,2,0,3,0,0,0
random_1,100,4,1,47,0,0,8,0,0,0,0,0
random_1,100,4,2,19,0,2,11,0,2,0,0,0
random_1,100,4,3,53,0,0,6,0,2,0,0,0
random_1,100,4,4,14,0,0,8,0,4,0,1,0
random_1,100,4,5,16,0,0,7,0,0,0,0,0
random_1,100,4,6,0,0,0,1,0,0,0,0,0
random_1,100,4,7,25,0,0,5,0,0,0,0,0
random_1,100,4,8,26,0,0,1,1,0,0,0,0
random_1,100,4,9,10,0,1,2,0,0,0,0,0
random_1,100,4,10,27,0,0,3,0,0,0,0,0
random_1,100,4,11,12,0,0,0,0,1,0,0,0
random_1,100,4,12,2,0,0,1,0,0,0,0,0
random_1,100,4,13,0,0,0,0,0,0,0,0,0
random_1,100,4,14,5,0,2,3,0,1,0,0,0
random_1,100,4,15,20,0,0,4,0,1,0,0,0
random_1,100,5,0,32,0,0,5,0,3,0,0,0
random_1,100,5,1,71,0,0,12,0,0,0,0,0
random_1,100,5,2,40,0,2,16,0,3,0,1,0
random_1,100,5,3,69,0,0,10,0,3,0,0,0
random_1,100,5,4,18,0,0,12,0,6,0,1,0
random_1,100,5,5,21,0,0,11,0,2,0,0,0
random_1,100,5,6,0,0,1,1,0,0,0,0,0
random_1,100,5,7,31,0,0,8,0,0,0,1,0
random_1,100,5,8,38,0,0,3,1,1,0,0,0
random_1,100,5,9,13,0,1,2,0,0,0,0,0
random_1,100,5,10,45,0,0,6,0,0,0,0,0
random_1,100,5,11,14,0,0,0,0,1,0,0,0
random_1,100,5,12,2,0,0,1,0,0,0,0,0
