filename,r,sample_time,sample_id,shannon,simpson
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,0,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,1,0.0,0.0
clustered_1,1,0,2,0.0,0.0
clustered_1,1,0,2,0.0,0.0
clustered_1,1,0,2,0.0,0.0
clustered_1,1,0,2,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,3,0.0,0.0
clustered_1,1,0,4,0.0,0.0
clustered_1,1,0,4,0.0,0.0
clustered_1,1,0,4,0.0,0.0
clustered_1,1,0,4,0.0,0.0
clustered_1,1,0,4,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,5,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,6,0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,7,-0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,8,0.0,0.0
clustered_1,1,0,9,0.0,0.0
clustered_1,1,0,9,0.0,0.0
clustered_1,1,0,9,0.0,0.0
clustered_1,1,0,9,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,10,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,0,11,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,0,0.0,0.0
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,1,0.63651,0.44444
clustered_1,1,100,2,1.0114,0.61111
clustered_1,1,100,2,1.0114,0.61111
clustered_1,1,100,2,1.0114,0.61111
clustered_1,1,100,2,1.0114,0.61111
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,3,0.0,0.0
clustered_1,1,100,4,-0.0,0.0
clustered_1,1,100,4,-0.0,0.0
clustered_1,1,100,4,-0.0,0.0
clustered_1,1,100,4,-0.0,0.0
clustered_1,1,100,4,-0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,5,0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,6,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,7,-0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,8,0.0,0.0
clustered_1,1,100,9,0.69315,0.5
clustered_1,1,100,9,0.69315,0.5
clustered_1,1,100,9,0.69315,0.5
clustered_1,1,100,9,0.69315,0.5
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,10,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,100,11,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,0,0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,1,-0.0,0.0
clustered_1,1,200,2,0.0,0.0
clustered_1,1,200,2,0.0,0.0
clustered_1,1,200,2,0.0,0.0
clustered_1,1,200,2,0.0,0.0
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,3,0.5004,0.32
clustered_1,1,200,4,0.0,0.0
clustered_1,1,200,4,0.0,0.0
clustered_1,1,200,4,0.0,0.0
clustered_1,1,200,4,0.0,0.0
clustered_1,1,200,4,0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,5,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,6,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,7,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,8,-0.0,0.0
clustered_1,1,200,9,-0.0,0.0
clustered_1,1,200,9,-0.0,0.0
clustered_1,1,200,9,-0.0,0.0
clustered_1,1,200,9,-0.0,0.0
