filename,r,sample_id,acc,prec,rec
random_3,1,2,0.2222222222222222,1.0,0.2222222222222222
random_3,1,3,0.0,0.0,0.0
random_3,1,4,0.1111111111111111,1.0,0.1111111111111111
random_3,1,5,0.0,0.0,0.0
random_3,1,6,0.0,0.0,0.0
random_3,1,7,0.1111111111111111,1.0,0.1111111111111111
random_3,1,8,0.1111111111111111,1.0,0.1111111111111111
random_3,1,9,0.0,0.0,0.0
random_3,1,10,0.1111111111111111,1.0,0.1111111111111111
random_3,1,11,0.0,0.0,0.0
random_3,2,0,0.3333333333333333,1.0,0.3333333333333333
random_3,2,1,0.2222222222222222,1.0,0.2222222222222222
random_3,2,2,0.3333333333333333,1.0,0.3333333333333333
random_3,2,3,0.0,0.0,0.0
random_3,2,4,0.1111111111111111,1.0,0.1111111111111111
random_3,2,5,0.0,0.0,0.0
random_3,2,6,0.0,0.0,0.0
random_3,2,7,0.1111111111111111,1.0,0.1111111111111111
random_3,2,8,0.1111111111111111,1.0,0.1111111111111111
random_3,2,9,0.0,0.0,0.0
random_3,2,10,0.1111111111111111,1.0,0.1111111111111111
random_3,2,11,0.0,0.0,0.0
random_3,3,0,0.4444444444444444,1.0,0.4444444444444444
random_3,3,1,0.2222222222222222,1.0,0.2222222222222222
random_3,3,2,0.3333333333333333,1.0,0.3333333333333333
random_3,3,3,0.0,0.0,0.0
random_3,3,4,0.1111111111111111,1.0,0.1111111111111111
random_3,3,5,0.0,0.0,0.0
random_3,3,6,0.0,0.0,0.0
random_3,3,7,0.1111111111111111,1.0,0.1111111111111111
random_3,3,8,0.1111111111111111,1.0,0.1111111111111111
random_3,3,9,0.0,0.0,0.0
random_3,3,10,0.1111111111111111,1.0,0.1111111111111111
random_3,3,11,0.0,0.0,0.0
random_3,4,0,0.4444444444444444,1.0,0.4444444444444444
random_3,4,1,0.2222222222222222,1.0,0.2222222222222222
random_3,4,2,0.3333333333333333,1.0,0.3333333333333333
random_3,4,3,0.0,0.0,0.0
random_3,4,4,0.1111111111111111,1.0,0.1111111111111111
random_3,4,5,0.0,0.0,0.0
random_3,4,6,0.0,0.0,0.0
random_3,4,7,0.1111111111111111,1.0,0.1111111111111111
random_3,4,8,0.1111111111111111,1.0,0.1111111111111111
random_3,4,9,0.0,0.0,0.0
random_3,4,10,0.1111111111111111,1.0,0.1111111111111111
random_3,4,11,0.0,0.0,0.0
random_3,5,0,0.4444444444444444,1.0,0.4444444444444444
random_3,5,1,0.2222222222222222,1.0,0.2222222222222222
random_3,5,2,0.3333333333333333,1.0,0.3333333333333333
random_3,5,3,0.0,0.0,0.0
random_3,5,4,0.1111111111111111,1.0,0.1111111111111111
random_3,5,5,0.1111111111111111,1.0,0.1111111111111111
random_3,5,6,0.1111111111111111,1.0,0.1111111111111111
random_3,5,7,0.1111111111111111,1.0,0.1111111111111111
random_3,5,8,0.2222222222222222,1.0,0.2222222222222222
random_3,5,9,0.0,0.0,0.0
random_3,5,10,0.1111111111111111,1.0,0.1111111111111111
random_3,5,11,0.0,0.0,0.0
random_4,1,0,0.0,0.0,0.0
random_4,1,1,0.0,0.0,0.0
random_4,1,2,0.0,0.0,0.0
random_4,1,3,0.0,0.0,0.0
random_4,1,4,0.0,0.0,0.0
random_4,1,5,0.0,0.0,0.0
random_4,1,6,0.0,0.0,0.0
random_4,1,7,0.0,0.0,0.0
random_4,1,8,0.0,0.0,0.0
random_4,1,9,0.0,0.0,0.0
random_4,1,10,0.1111111111111111,1.0,0.1111111111111111
random_4,1,11,0.0,0.0,0.0
random_4,2,0,0.0,0.0,0.0
random_4,2,1,0.0,0.0,0.0
random_4,2,2,0.0,0.0,0.0
random_4,2,3,0.1111111111111111,1.0,0.1111111111111111
random_4,2,4,0.0,0.0,0.0
random_4,2,5,0.1111111111111111,1.0,0.1111111111111111
random_4,2,6,0.0,0.0,0.0
random_4,2,7,0.0,0.0,0.0
random_4,2,8,0.0,0.0,0.0
random_4,2,9,0.0,0.0,0.0
random_4,2,10,0.1111111111111111,1.0,0.1111111111111111
random_4,2,11,0.0,0.0,0.0
random_4,3,0,0.0,0.0,0.0
random_4,3,1,0.0,0.0,0.0
random_4,3,2,0.0,0.0,0.0
random_4,3,3,0.1111111111111111,1.0,0.1111111111111111
random_4,3,4,0.0,0.0,0.0
random_4,3,5,0.1111111111111111,1.0,0.1111111111111111
random_4,3,6,0.0,0.0,0.0
random_4,3,7,0.0,0.0,0.0
random_4,3,8,0.0,0.0,0.0
random_4,3,9,0.0,0.0,0.0
random_4,3,10,0.1111111111111111,1.0,0.1111111111111111
random_4,3,11,0.0,0.0,0.0
random_4,4,0,0.0,0.0,0.0
random_4,4,1,0.0,0.0,0.0
random_4,4,2,0.0,0.0,0.0
random_4,4,3,0.2222222222222222,1.0,0.2222222222222222
random_4,4,4,0.0,0.0,0.0
random_4,4,5,0.1111111111111111,1.0,0.1111111111111111
random_4,4,6,0.0,0.0,0.0
random_4,4,7,0.1111111111111111,1.0,0.1111111111111111
random_4,4,8,0.0,0.0,0.0
random_4,4,9,0.0,0.0,0.0
random_4,4,10,0.1111111111111111,1.0,0.1111111111111111
random_4,4,11,0.0,0.0,0.0
random_4,5,0,0.0,0.0,0.0
random_4,5,1,0.0,0.0,0.0
random_4,5,2,0.0,0.0,0.0
random_4,5,3,0.2222222222222222,1.0,0.2222222222222222
random_4,5,4,0.0,0.0,0.0
random_4,5,5,0.2222222222222222,1.0,0.2222222222222222
random_4,5,6,0.1111111111111111,1.0,0.1111111111111111
random_4,5,7,0.2222222222222222,1.0,0.2222222222222222
random_4,5,8,0.0,0.0,0.0
random_4,5,9,0.1111111111111111,1.0,0.1111111111111111
random_4,5,10,0.3333333333333333,1.0,0.3333333333333333
random_4,5,11,0.1111111111111111,1.0,0.1111111111111111
random_5,1,0,0.3333333333333333,1.0,0.3333333333333333
random_5,1,1,0.0,0.0,0.0
random_5,1,2,0.1111111111111111,1.0,0.1111111111111111
random_5,1,3,0.3333333333333333,1.0,0.3333333333333333
random_5,1,4,0.0,0.0,0.0
random_5,1,5,0.1111111111111111,1.0,0.1111111111111111
random_5,1,6,0.0,0.0,0.0
random_5,1,7,0.3333333333333333,1.0,0.3333333333333333
random_5,1,8,0.1111111111111111,1.0,0.1111111111111111
random_5,1,9,0.1111111111111111,1.0,0.1111111111111111
random_5,1,10,0.0,0.0,0.0
random_5,1,11,0.2222222222222222,1.0,0.2222222222222222
random_5,2,0,0.3333333333333333,1.0,0.3333333333333333
random_5,2,1,0.0,0.0,0.0
random_5,2,2,0.1111111111111111,1.0,0.1111111111111111
random_5,2,3,0.4444444444444444,1.0,0.4444444444444444
random_5,2,4,0.0,0.0,0.0
random_5,2,5,0.1111111111111111,1.0,0.1111111111111111
random_5,2,6,0.0,0.0,0.0
random_5,2,7,0.3333333333333333,1.0,0.3333333333333333
random_5,2,8,0.1111111111111111,1.0,0.1111111111111111
random_5,2,9,0.1111111111111111,1.0,0.1111111111111111
random_5,2,10,0.0,0.0,0.0
random_5,2,11,0.2222222222222222,1.0,0.2222222222222222
random_5,3,0,0.3333333333333333,1.0,0.3333333333333333
random_5,3,1,0.0,0.0,0.0
random_5,3,2,0.1111111111111111,1.0,0.1111111111111111
random_5,3,3,0.4444444444444444,1.0,0.4444444444444444
random_5,3,4,0.0,0.0,0.0
random_5,3,5,0.2222222222222222,1.0,0.2222222222222222
random_5,3,6,0.0,0.0,0.0
random_5,3,7,0.3333333333333333,1.0,0.3333333333333333
random_5,3,8,0.1111111111111111,1.0,0.1111111111111111
random_5,3,9,0.2222222222222222,1.0,0.2222222222222222
random_5,3,10,0.2222222222222222,1.0,0.2222222222222222
random_5,3,11,0.2222222222222222,1.0,0.2222222222222222
random_5,4,0,0.4444444444444444,1.0,0.4444444444444444
random_5,4,1,0.0,0.0,0.0
random_5,4,2,0.1111111111111111,1.0,0.1111111111111111
random_5,4,3,0.4444444444444444,1.0,0.4444444444444444
random_5,4,4,0.0,0.0,0.0
random_5,4,5,0.2222222222222222,1.0,0.2222222222222222
random_5,4,6,0.0,0.0,0.0
random_5,4,7,0.3333333333333333,1.0,0.3333333333333333
random_5,4,8,0.1111111111111111,1.0,0.1111111111111111
random_5,4,9,0.2222222222222222,1.0,0.2222222222222222
random_5,4,10,0.2222222222222222,1.0,0.2222222222222222
random_5,4,11,0.3333333333333333,1.0,0.3333333333333333
random_5,5,0,0.4444444444444444,1.0,0.4444444444444444
random_5,5,1,0.0,0.0,0.0
random_5,5,2,0.1111111111111111,1.0,0.1111111111111111
random_5,5,3,0.4444444444444444,1.0,0.4444444444444444
random_5,5,4,0.1111111111111111,1.0,0.1111111111111111
random_5,5,5,0.2222222222222222,1.0,0.2222222222222222
random_5,5,6,0.0,0.0,0.0
random_5,5,7,0.3333333333333333,1.0,0.3333333333333333
random_5,5,8,0.1111111111111111,1.0,0.1111111111111111
random_5,5,9,0.2222222222222222,1.0,0.2222222222222222
random_5,5,10,0.2222222222222222,1.0,0.2222222222222222
random_5,5,11,0.3333333333333333,1.0,0.3333333333333333
random_6,1,0,0.0,0.0,0.0
random_6,1,1,0.0,0.0,0.0
random_6,1,2,0.0,0.0,0.0
random_6,1,3,0.0,0.0,0.0
random_6,1,4,0.0,0.0,0.0
random_6,1,5,0.0,0.0,0.0
random_6,1,6,0.0,0.0,0.0
random_6,1,7,0.0,0.0,0.0
random_6,1,8,0.1111111111111111,1.0,0.1111111111111111
random_6,1,9,0.1111111111111111,1.0,0.1111111111111111
random_6,1,10,0.1111111111111111,1.0,0.1111111111111111
random_6,1,11,0.2222222222222222,1.0,0.2222222222222222
random_6,2,0,0.0,0.0,0.0
random_6,2,1,0.0,0.0,0.0
random_6,2,2,0.0,0.0,0.0
random_6,2,3,0.0,0.0,0.0
random_6,2,4,0.0,0.0,0.0
random_6,2,5,0.0,0.0,0.0
random_6,2,6,0.0,0.0,0.0
random_6,2,7,0.0,0.0,0.0
random_6,2,8,0.1111111111111111,1.0,0.1111111111111111
random_6,2,9,0.1111111111111111,1.0,0.1111111111111111
random_6,2,10,0.1111111111111111,1.0,0.1111111111111111
random_6,2,11,0.2222222222222222,1.0,0.2222222222222222
random_6,3,0,0.0,0.0,0.0
random_6,3,1,0.0,0.0,0.0
random_6,3,2,0.0,0.0,0.0
random_6,3,3,0.0,0.0,0.0
random_6,3,4,0.0,0.0,0.0
random_6,3,5,0.0,0.0,0.0
random_6,3,6,0.0,0.0,0.0
random_6,3,7,0.0,0.0,0.0
random_6,3,8,0.1111111111111111,1.0,0.1111111111111111
random_6,3,9,0.1111111111111111,1.0,0.1111111111111111
random_6,3,10,0.1111111111111111,1.0,0.1111111111111111
random_6,3,11,0.2222222222222222,1.0,0.2222222222222222
random_6,4,0,0.0,0.0,0.0
random_6,4,1,0.0,0.0,0.0
random_6,4,2,0.0,0.0,0.0
random_6,4,3,0.0,0.0,0.0
random_6,4,4,0.3333333333333333,1.0,0.3333333333333333
random_6,4,5,0.0,0.0,0.0
random_6,4,6,0.0,0.0,0.0
random_6,4,7,0.0,0.0,0.0
random_6,4,8,0.2222222222222222,1.0,0.2222222222222222
random_6,4,9,0.1111111111111111,1.0,0.1111111111111111
random_6,4,10,0.2222222222222222,1.0,0.2222222222222222
random_6,4,11,0.2222222222222222,1.0,0.2222222222222222
random_6,5,0,0.2222222222222222,1.0,0.2222222222222222
random_6,5,1,0.0,0.0,0.0
random_6,5,2,0.0,0.0,0.0
random_6,5,3,0.0,0.0,0.0
random_6,5,4,0.3333333333333333,1.0,0.3333333333333333
random_6,5,5,0.1111111111111111,1.0,0.1111111111111111
random_6,5,6,0.0,0.0,0.0
random_6,5,7,0.0,0.0,0.0
random_6,5,8,0.2222222222222222,1.0,0.2222222222222222
random_6,5,9,0.1111111111111111,1.0,0.1111111111111111
random_6,5,10,0.3333333333333333,1.0,0.3333333333333333
random_6,5,11,0.3333333333333333,1.0,0.3333333333333333
random_7,1,0,0.0,0.0,0.0
random_7,1,1,0.2222222222222222,1.0,0.2222222222222222
random_7,1,2,0.0,0.0,0.0
random_7,1,3,0.0,0.0,0.0
random_7,1,4,0.1111111111111111,1.0,0.1111111111111111
random_7,1,5,0.0,0.0,0.0
random_7,1,6,0.1111111111111111,1.0,0.1111111111111111
random_7,1,7,0.0,0.0,0.0
random_7,1,8,0.2222222222222222,1.0,0.2222222222222222
random_7,1,9,0.1111111111111111,1.0,0.1111111111111111
random_7,1,10,0.0,0.0,0.0
random_7,1,11,0.1111111111111111,1.0,0.1111111111111111
random_7,2,0,0.0,0.0,0.0
random_7,2,1,0.3333333333333333,1.0,0.3333333333333333
random_7,2,2,0.0,0.0,0.0
random_7,2,3,0.0,0.0,0.0
random_7,2,4,0.1111111111111111,1.0,0.1111111111111111
random_7,2,5,0.1111111111111111,1.0,0.1111111111111111
random_7,2,6,0.1111111111111111,1.0,0.1111111111111111
random_7,2,7,0.1111111111111111,1.0,0.1111111111111111
random_7,2,8,0.2222222222222222,1.0,0.2222222222222222
random_7,2,9,0.1111111111111111,1.0,0.1111111111111111
random_7,2,10,0.1111111111111111,1.0,0.1111111111111111
random_7,2,11,0.1111111111111111,1.0,0.1111111111111111
random_7,3,0,0.0,0.0,0.0
random_7,3,1,0.3333333333333333,1.0,0.3333333333333333
random_7,3,2,0.0,0.0,0.0
random_7,3,3,0.0,0.0,0.0
random_7,3,4,0.2222222222222222,1.0,0.2222222222222222
random_7,3,5,0.2222222222222222,1.0,0.2222222222222222
random_7,3,6,0.1111111111111111,1.0,0.1111111111111111
random_7,3,7,0.1111111111111111,1.0,0.1111111111111111
random_7,3,8,0.2222222222222222,1.0,0.2222222222222222
random_7,3,9,0.2222222222222222,1.0,0.2222222222222222
random_7,3,10,0.2222222222222222,1.0,0.2222222222222222
random_7,3,11,0.1111111111111111,1.0,0.1111111111111111
random_7,4,0,0.0,0.0,0.0
random_7,4,1,0.3333333333333333,1.0,0.3333333333333333
random_7,4,2,0.1111111111111111,1.0,0.1111111111111111
random_7,4,3,0.0,0.0,0.0
random_7,4,4,0.2222222222222222,1.0,0.2222222222222222
random_7,4,5,0.2222222222222222,1.0,0.2222222222222222
random_7,4,6,0.1111111111111111,1.0,0.1111111111111111
random_7,4,7,0.1111111111111111,1.0,0.1111111111111111
random_7,4,8,0.2222222222222222,1.0,0.2222222222222222
random_7,4,9,0.2222222222222222,1.0,0.2222222222222222
random_7,4,10,0.2222222222222222,1.0,0.2222222222222222
random_7,4,11,0.1111111111111111,1.0,0.1111111111111111
random_7,5,0,0.0,0.0,0.0
random_7,5,1,0.3333333333333333,1.0,0.3333333333333333
random_7,5,2,0.1111111111111111,1.0,0.1111111111111111
random_7,5,3,0.0,0.0,0.0
random_7,5,4,0.2222222222222222,1.0,0.2222222222222222
random_7,5,5,0.2222222222222222,1.0,0.2222222222222222
random_7,5,6,0.1111111111111111,1.0,0.1111111111111111
random_7,5,7,0.1111111111111111,1.0,0.1111111111111111
random_7,5,8,0.3333333333333333,1.0,0.3333333333333333
random_7,5,9,0.2222222222222222,1.0,0.2222222222222222
random_7,5,10,0.2222222222222222,1.0,0.2222222222222222
random_7,5,11,0.1111111111111111,1.0,0.1111111111111111
random_8,1,0,0.2222222222222222,1.0,0.2222222222222222
random_8,1,1,0.2222222222222222,1.0,0.2222222222222222
random_8,1,2,0.0,0.0,0.0
random_8,1,3,0.2222222222222222,1.0,0.2222222222222222
random_8,1,4,0.0,0.0,0.0
random_8,1,5,0.0,0.0,0.0
random_8,1,6,0.0,0.0,0.0
random_8,1,7,0.0,0.0,0.0
random_8,1,8,0.0,0.0,0.0
random_8,1,9,0.0,0.0,0.0
random_8,1,10,0.0,0.0,0.0
random_8,1,11,0.1111111111111111,1.0,0.1111111111111111
random_8,2,0,0.2222222222222222,1.0,0.2222222222222222
random_8,2,1,0.2222222222222222,1.0,0.2222222222222222
random_8,2,2,0.1111111111111111,1.0,0.1111111111111111
random_8,2,3,0.2222222222222222,1.0,0.2222222222222222
random_8,2,4,0.0,0.0,0.0
random_8,2,5,0.1111111111111111,1.0,0.1111111111111111
random_8,2,6,0.0,0.0,0.0
random_8,2,7,0.0,0.0,0.0
random_8,2,8,0.0,0.0,0.0
random_8,2,9,0.1111111111111111,1.0,0.1111111111111111
random_8,2,10,0.0,0.0,0.0
random_8,2,11,0.1111111111111111,1.0,0.1111111111111111
random_8,3,0,0.3333333333333333,1.0,0.3333333333333333
random_8,3,1,0.2222222222222222,1.0,0.2222222222222222
random_8,3,2,0.2222222222222222,1.0,0.2222222222222222
random_8,3,3,0.2222222222222222,1.0,0.2222222222222222
random_8,3,4,0.0,0.0,0.0
random_8,3,5,0.1111111111111111,1.0,0.1111111111111111
random_8,3,6,0.1111111111111111,1.0,0.1111111111111111
random_8,3,7,0.0,0.0,0.0
random_8,3,8,0.0,0.0,0.0
random_8,3,9,0.1111111111111111,1.0,0.1111111111111111
random_8,3,10,0.0,0.0,0.0
random_8,3,11,0.3333333333333333,1.0,0.3333333333333333
random_8,4,0,0.3333333333333333,1.0,0.3333333333333333
random_8,4,1,0.2222222222222222,1.0,0.2222222222222222
random_8,4,2,0.3333333333333333,1.0,0.3333333333333333
random_8,4,3,0.2222222222222222,1.0,0.2222222222222222
random_8,4,4,0.1111111111111111,1.0,0.1111111111111111
random_8,4,5,0.1111111111111111,1.0,0.1111111111111111
random_8,4,6,0.2222222222222222,1.0,0.2222222222222222
random_8,4,7,0.1111111111111111,1.0,0.1111111111111111
random_8,4,8,0.1111111111111111,1.0,0.1111111111111111
random_8,4,9,0.1111111111111111,1.0,0.1111111111111111
random_8,4,10,0.0,0.0,0.0
random_8,4,11,0.3333333333333333,1.0,0.3333333333333333
random_8,5,0,0.3333333333333333,1.0,0.3333333333333333
random_8,5,1,0.2222222222222222,1.0,0.2222222222222222
random_8,5,2,0.3333333333333333,1.0,0.3333333333333333
random_8,5,3,0.2222222222222222,1.0,0.2222222222222222
random_8,5,4,0.1111111111111111,1.0,0.1111111111111111
random_8,5,5,0.1111111111111111,1.0,0.1111111111111111
random_8,5,6,0.3333333333333333,1.0,0.3333333333333333
random_8,5,7,0.2222222222222222,1.0,0.2222222222222222
random_8,5,8,0.1111111111111111,1.0,0.1111111111111111
random_8,5,9,0.1111111111111111,1.0,0.1111111111111111
random_8,5,10,0.0,0.0,0.0
random_8,5,11,0.4444444444444444,1.0,0.4444444444444444
random_9,1,0,0.0,0.0,0.0
random_9,1,1,0.0,0.0,0.0
random_9,1,2,0.0,0.0,0.0
random_9,1,3,0.2222222222222222,1.0,0.2222222222222222
random_9,1,4,0.2222222222222222,1.0,0.2222222222222222
random_9,1,5,0.1111111111111111,1.0,0.1111111111111111
random_9,1,6,0.1111111111111111,1.0,0.1111111111111111
random_9,1,7,0.3333333333333333,1.0,0.3333333333333333
random_9,1,8,0.2222222222222222,1.0,0.2222222222222222
random_9,1,9,0.1111111111111111,1.0,0.1111111111111111
random_9,1,10,0.0,0.0,0.0
random_9,1,11,0.1111111111111111,1.0,0.1111111111111111
random_9,2,0,0.1111111111111111,1.0,0.1111111111111111
random_9,2,1,0.0,0.0,0.0
random_9,2,2,0.1111111111111111,1.0,0.1111111111111111
random_9,2,3,0.3333333333333333,1.0,0.3333333333333333
random_9,2,4,0.2222222222222222,1.0,0.2222222222222222
random_9,2,5,0.3333333333333333,1.0,0.3333333333333333
random_9,2,6,0.2222222222222222,1.0,0.2222222222222222
random_9,2,7,0.3333333333333333,1.0,0.3333333333333333
random_9,2,8,0.2222222222222222,1.0,0.2222222222222222
random_9,2,9,0.3333333333333333,1.0,0.3333333333333333
random_9,2,10,0.0,0.0,0.0
random_9,2,11,0.2222222222222222,1.0,0.2222222222222222
random_9,3,0,0.1111111111111111,1.0,0.1111111111111111
random_9,3,1,0.0,0.0,0.0
random_9,3,2,0.2222222222222222,1.0,0.2222222222222222
random_9,3,3,0.3333333333333333,1.0,0.3333333333333333
random_9,3,4,0.2222222222222222,1.0,0.2222222222222222
random_9,3,5,0.3333333333333333,1.0,0.3333333333333333
random_9,3,6,0.2222222222222222,1.0,0.2222222222222222
random_9,3,7,0.3333333333333333,1.0,0.3333333333333333
random_9,3,8,0.2222222222222222,1.0,0.2222222222222222
random_9,3,9,0.3333333333333333,1.0,0.3333333333333333
random_9,3,10,0.0,0.0,0.0
random_9,3,11,0.2222222222222222,1.0,0.2222222222222222
random_9,4,0,0.1111111111111111,1.0,0.1111111111111111
random_9,4,1,0.1111111111111111,1.0,0.1111111111111111
random_9,4,2,0.2222222222222222,1.0,0.2222222222222222
random_9,4,3,0.3333333333333333,1.0,0.3333333333333333
random_9,4,4,0.3333333333333333,1.0,0.3333333333333333
random_9,4,5,0.4444444444444444,1.0,0.4444444444444444
random_9,4,6,0.2222222222222222,1.0,0.2222222222222222
random_9,4,7,0.3333333333333333,1.0,0.3333333333333333
random_9,4,8,0.2222222222222222,1.0,0.2222222222222222
random_9,4,9,0.3333333333333333,1.0,0.3333333333333333
random_9,4,10,0.0,0.0,0.0
random_9,4,11,0.2222222222222222,1.0,0.2222222222222222
random_9,5,0,0.1111111111111111,1.0,0.1111111111111111
random_9,5,1,0.1111111111111111,1.0,0.1111111111111111
random_9,5,2,0.2222222222222222,1.0,0.2222222222222222
random_9,5,3,0.3333333333333333,1.0,0.3333333333333333
random_9,5,4,0.3333333333333333,1.0,0.3333333333333333
random_9,5,5,0.4444444444444444,1.0,0.4444444444444444
